Nº;Matricula;Placa policial;Código vehiculo;Nombre vehiculo;Categoria;Convenio
224;QWUR0699;--;akuma;Akuma;Motos;
225;HVK328;118;--;Vehículo policial;--;SAPD
226;EZL440;438;--;Vehículo policial;--;
227;PXY141;438;--;Vehículo policial;--;
228;DKZS0828;--;previon;Previon;Coupes;
229;YKCW6090;--;envisage;Envisage;Deportivo clasico;
230;IPH473;438;--;Vehículo policial;--;
231;RCYB5877;--;ratbike;Rat Bike;Motos;
232;RCD764;440;--;Vehículo policial;--;
233;NQPP8816;--;akuma;Akuma;Motos;
234;ONOC9976;--;asbo;Asbo;Compactos;
235;IEGC0527;--;hakuchou;Hakuchou;Motos;
236;HKES9090;--;omnis;Omnis;Deportivo;
237;RRK997;452;--;Vehículo policial;--;
238;JJNR6111;--;blista;Blista;Compactos;
239;HYTI9159;--;banshee;Banshee;Deportivo;
240;FBPQ7516;--;cognoscenti;Cognoscenti;Coupes;
241;GSJ807;866;--;Vehículo SAED;--;
242;QYTJ4510;--;previon;Previon;Coupes;
243;OPM806;136;--;Vehículo policial;--;
244;KMZ467;457;--;Vehículo policial;--;
245;GQDZ6482;--;issi3;Issi Classic;Compactos;
246;GXUG1280;--;gargoyle;Gargoyle;Motos;
247;GEC707;136;--;Vehículo policial;--;
248;TIZG0428;--;asbo;Asbo;Compactos;
249;KNXE9430;--;gbprospero;Prospero;VIP;Sushi Bar
250;CWT271;444;--;Vehículo policial;--;
251;UYU871;833;--;Vehículo SAED;--;
252;NIK892;837;--;Vehículo SAED;--;
253;FUF J2345;--;weevil;Weevil;Compactos;
254;IGVE3641;--;akuma;Akuma;Motos;
255;MLTC1731;--;asterope;Asterope;Sedans;
256;52965;823;--;Vehículo SAED;--;
257;ATWE2080;--;journey;Journey;Furgonetas;
258;TZFO4657;--;gbcomets2r;Comet S2R;VIP;
259;HJMB3584;--;elegy;Elegy Retro Custom;Deportivo;
260;KULH5718;--;asterope2;Asterope GZ;Sedans;
261;UVAA7837;--;astron;Astron;SUVs;BENNY's Original Motor Works
262;SQXZ4696;--;italigo;Itali GTO;Deportivo;SAPD
263;RHAP0265;--;gbcomets2rc;Comet S2RC;VIP;Helmut´s
264;WAIB7966;--;pizzaboy;Pizza Boy;Motos;
265;TFKE9443;--;akuma;Akuma;Motos;
266;AQWS6934;--;asterope;Asterope;Sedans;
267;NBUI1458;--;caracara2;Caracara 4x4;Todoterrenos;
268;KYUY8931;--;ratbike;Rat Bike;Motos;
269;PPWU1412;--;buffalo4;Buffalo STX;Muscle;
270;BBEX3961;--;previon;Previon;Coupes;
271;UVAX6665;--;dominator7;Dominator ASP;Muscle;
272;SZE371;149;--;Vehículo policial;--;
273;JOR890;833;--;Vehículo SAED;--;
274;ADS300;107;--;Vehículo policial;--;SAPD
275;8777;855;--;Vehículo SAED;--;
276;FFM998;823;--;Vehículo SAED;--;
277;QLTM0934;--;gbprospero;Prospero;VIP;
278;UDQY1391;--;double;Double-T;Motos;
279;ZIEU7805;--;tailgater2;Tailgater S;Sedans;Weedland
280;THU912;120;--;Vehículo policial;--;
281;HVUL2081;--;tulip;Tulip;Muscle;
282;BLLD7521;--;dominator3;Dominator GTX;Muscle;
283;NFBG0490;--;gbprospero;Prospero;VIP;
284;KQII8843;--;weevil;Weevil;Compactos;
285;YRY435;401;--;Vehículo policial;--;
286;FELF1370;--;akuma;Akuma;Motos;
287;AZLZ0394;--;bf400;BF400;Motos;
288;IZNL4623;--;gbsultanrsx;Sultan RSX;VIP;
289;ZFS009;--;Vehículo policial;;;
290;OKZ516;403;--;Vehículo policial;--;
291;WMQ736;403;--;Vehículo policial;--;
292;BW0024;403;--;Vehículo policial;--;
293;UIU731;403;--;Vehículo policial;--;
294;EVVP0878;--;picador;Picador;Muscle;
295;LYE045;774;--;Vehículo SAED;--;
296;RUKQ6023;--;s790anim;S790 Animated;VIP;
297;MCD180;123;--;Vehículo policial;--;
298;OZYV0251;--;gbronin;Ronin;VIP;Sushi Bar
299;VOAR3507;--;caracara2;Caracara 4x4;Todoterrenos;
300;TQPS8117;--;gbmilano;Milano;VIP;
301;UGWO0303;--;elegy;Elegy Retro Custom;Deportivo;Bohem Beach
302;WLU355;855;--;Vehículo SAED;--;
303;DKQ371;103;--;Vehículo policial;--;
304;LXW269;--;;;;
305;LNNG6777;--;offzenith;Zenith Offroad;VIP;
306;AUL917;119;--;Vehículo policial;--;
307;OUKW2470;--;outlaw;Outlaw;Todoterrenos;
308;OEMR2849;--;blista;Blista;Compactos;
309;UHX598;102;--;Vehículo policial;--;
310;UYW806;103;--;Vehículo policial;--;
311;PLGS6756;--;offzenith;Zenith Offroad;VIP;
312;JPGO4005;--;sanchez;Sanchez Livery;Motos;
313;NFRR6929;--;zr6gt;ZR6 GT;VIP;
314;ACJ653;110;--;Vehículo policial;--;
315;AUHJ2038;--;komoda;Komoda;Deportivo;
316;TFJA4086;--;blista;Blista;Compactos;
317;RIH991;114;--;Vehículo policial;--;
318;TEF106;454;--;Vehículo policial;--;SAPD
319;OAF882;400;--;Vehículo policial;--;
320;LODN6618;--;asbo;Asbo;Compactos;
321;UKPJ1871;--;komoda;Komoda;Deportivo;
322;SKGV3650;--;rhinehart;Rhinehart;Sedans;
323;MEWX6095;--;s790anim;S790 Animated;VIP;BENNY's Original Motor Works
324;JVGD1291;--;terminator;Terminator;VIP;Departamento de Justicia
325;VLU885;446;--;Vehículo policial;--;
326;USL183;905;--;Vehículo policial;--;SAPD
327;EJX188;444;--;Vehículo policial;--;SAPD
328;RVQA5030;--;slamvan;Slam Van;Muscle;
329;XOET9532;--;gbbisonhf;Bison HF;VIP;
330;ORQC1420;--;gbprospero;Prospero;VIP;
331;HVT755;888;--;Vehículo SAED;--;
332;TWGU8630;--;primo2;Primo Custom;Sedans;
333;KSQU9409;--;weevil;Weevil;Compactos;
334;WFQC2370;--;elegy;Elegy Retro Custom;Deportivo;Sushi Bar
335;HEXM1927;--;issi2;Issi;Compactos;
336;BXKK728;855;--;Vehículo SAED;--;
337;AZY813;476;--;Vehículo policial;--;
338;VCGC3841;--;gbprospero;Prospero;VIP;
339;UTT084;465;--;Vehículo policial;--;
340;IETD5927;--;weevil;Weevil;Compactos;
341;EIUF4620;--;obeysport;Obey Sport GT;VIP;
342;XWW059;--;shinobi;Shinobi;Motos;
343;CNZT0189;--;previon;Previon;Coupes;
344;YJMQ3848;--;penumbra2;Penumbra FF;Deportivo;
345;EFVF1065;--;sultan;Sultan;Deportivo;
346;SRCU7848;--;sovereign;Sovereign;Motos;
347;RKQY3284;--;akuma;Akuma;Motos;
348;QINS1865;--;ratbike;Rat Bike;Motos;
349;TGME1787;--;obeysport;Obey Sport GT;VIP;
350;MFJT2534;--;620gts;620 GTS;VIP;
351;AIFC1142;--;pfister811;s811;Superdeportivo;
352;TSWZ2203;--;asbo;Asbo;Compactos;
353;WLXQ5347;--;previon;Previon;Coupes;
354;MUWK8191;--;sentinel2;Sentinel XS;Coupes;
355;JWVW1367;--;blista;Blista;Compactos;
356;JLNN1962;--;issi2;Issi;Compactos;
357;ELL004;--;akuma;Akuma;Motos;SAPD
358;GALN5878;--;rumpo3;Rumpo Custom;Furgonetas;
359;ZBCR2816;--;asterope;Asterope;Sedans;
360;CMCN4145;--;gbbisonhf;Bison HF;VIP;
361;PFYY6751;--;rhinehart;Rhinehart;Sedans;
362;LBE326;118;--;Vehículo policial;--;
363;EUT046;120;--;Vehículo SAED;--;
364;GOWK4862;--;akuma;Akuma;Motos;
365;DYRQ1887;--;rhinehart;Rhinehart;Sedans;
366;JRUJ9468;--;draugur;Draugur;Todoterrenos;
367;YNWV0442;--;sanchez;Sanchez Livery;Motos;
368;AVSV0534;--;asbo;Asbo;Compactos;
369;EIHN1855;--;comet2;Comet;Deportivo;
370;LBJV4343;--;shinobi;Shinobi;Motos;
371;TXI211;442;--;Vehículo policial;--;
372;RJPZ8680;--;asterope;Asterope;Sedans;
373;YKYL7902;--;l35;Walton L35;Todoterrenos;
374;HSXM1846;--;kanjo;Blista Kanjo;Compactos;
375;IQVV4454;--;asea;Asea;Sedans;
376;UHYD7532;--;previon;Previon;Coupes;
377;GGGE2704;--;stinger;Stinger;Deportivo clasico;
378;EQVN3034;--;kanjo;Blista Kanjo;Compactos;
379;EWY319;--;trophytruck;Trophy Truck;Todoterrenos;
380;YCOD4041;--;asterope;Asterope;Sedans;
381;ATET0993;--;rocoto;Rocoto;SUVs;
382;EUGI5698;--;terminus;Terminus;Todoterrenos;
383;ZXTG2482;--;akuma;Akuma;Motos;
384;OVRG4656;--;imorgon;Imorgon;Deportivo;
385;RVQF2058;--;prototipo;X80 Proto;Superdeportivo;
386;KATAT0971;--;penumbra;Penumbra;Deportivo;
387;KWYQ5073;--;asbo;Asbo;Compactos;
388;YGE816;118;--;Vehículo policial;--;
389;FQR434;116;--;Vehículo policial;--;
390;KSY187;116;--;Vehículo policial;--;
391;GJMC2512;--;asbo;Asbo;Compactos;
392;DPA622;855;--;Vehículo policial;--;
393;SOAS6792;--;asbo;Asbo;Compactos;
394;OOXT2796;--;asbo;Asbo;Compactos;
395;AFJ309;135;--;Vehículo policial;--;
396;COIC4470;--;l35;Walton L35;Todoterrenos;
397;XWHX6678;--;virgo;Virgo;Muscle;
398;TARS8172;--;jugular;Jugular;Deportivo;
399;YESY1226;--;comet2;Comet;Deportivo;
400;GEO373;425;--;Vehículo policial;--;
401;XHHU7442;--;rhinehart;Rhinehart;Sedans;
402;AEMF2807;--;s790;s790;VIP;
403;NSVH2025;--;warrener2;Warrener HKR;Sedans;
404;WCD180;118;--;Vehículo policial;--;
405;THDDN5096;--;bati;Bati 801;Motos;
406;9IQ863XY;--;sultan;Sultan;Deportivo;
407;IKNQ0466;--;rhinehart;Rhinehart;Sedans;
408;JFQJ6273;--;ratbike;Rat Bike;Motos;
409;LUWP3464;--;terminus;Terminus;Todoterrenos;
410;EFWH8141;--;gbemerussb1;Emerus SB1;VIP;
411;ZLOM4007;--;impaler;Impaler;Muscle;
412;FUMQ8471;--;bati;Bati 801;Motos;
413;BPGA4593;--;hexer;Hexer;Motos;
414;BASF1031;--;asbo;Asbo;Compactos;
415;SZEC2978;--;rhinehart;Rhinehart;Sedans;
416;NLLI1321;--;shinobi;Shinobi;Motos;
417;BFYV;--;faggio;Faggio Sport;Motos;
418;KKXV5548;--;picador;Picador;Muscle;
419;OELU4832;--;sultan;Sultan;Deportivo;
420;QCG508IW;--;sultan;Sultan;Deportivo;
421;GMNL8772;--;gbsultanrsx;Sultan RSX;VIP;
422;QYZ257;180;--;Vehículo policial;--;
423;AJHX1290;--;asterope;Asterope;Sedans;
424;EXWT3117;--;bf400;BF400;Motos;
425;TJVU9101;--;issi3;Issi Classic;Compactos;
426;TIOB8067;--;youga3;Youga Classic 4x4;Furgonetas;
427;FNLZ9606;--;ratbike;Rat Bike;Motos;
428;QNNR2735;--;dominator7;Dominator ASP;Muscle;
429;FILR4959;--;akuma;Akuma;Motos;Badulaque central
430;KRQP3286;--;comet5;Comet SR;Deportivo;
431;MAFK7572;--;faggio2;Faggio;Motos;
432;ZPH173;428;--;Vehículo policial;--;SAPD
433;KEAX7756;--;vstr;V-STR;Deportivo;
434;BHIG2423;--;tailgater;Tailgater;Sedans;
435;YNDC6156;--;turismo3;Turismo Omaggio;Superdeportivo;
436;VDLR5142;--;l35;Walton L35;Todoterrenos;
437;GLIF3046;--;akuma;Akuma;Motos;
438;THU812;110;--;Vehículo policial;--;
439;JEZK3556;--;akuma;Akuma;Motos;
440;AZCB1824;--;obeysport;Obey Sport GT;VIP;
441;VBMT8232;--;asbo;Asbo;Compactos;
442;ERBT0438;--;corsita;Corsita;Deportivo;
443;TGRJ2895;--;dominator4;Dominator Arena;Muscle;
444;SLPZ3162;--;habanero;Habanero;SUVs;
445;YYRS1006;--;asterope2;Asterope GZ;Sedans;
446;9GE54OPP;--;sultan;Sultan;Deportivo;
447;TIB03162;--;gblod4;LOD4;VIP;
448;KTAT0971;--;penumbra2;Penumbra FF;Deportivo;
449;LYJV7580;--;dc500l;DC500 Limousine;VIP;
450;HKNH2626;--;paragon;Paragon;Deportivo;
451;FRJY6243;--;carbonrs;Carbon RS;Motos;
452;LUWT6264;--;asbo;Asbo;Compactos;
453;PAGU7044;--;rapidgt;Rapid GT;Deportivo;
454;VGM934;446;--;Vehículo policial;--;
455;FNYD8673;--;avarus;Avarus;Motos;
456;QBA162;167;--;Vehículo policial;--;
457;MLDM7155;--;buccaneer;Buccaneer;Muscle;
458;FWBZ1688;--;terminator;Terminator;VIP;
459;ASFE0558;--;asbo;Asbo;Compactos;
460;JKCK2443;--;buffalo4;Buffalo STX;Muscle;SAPD
461;COL276;142;--;Vehículo policial;--;
462;EOBC0337;--;windsor2;Windsor Drop;Coupes;
463;ZUU468;899;--;Vehículo SAED;--;
464;VEQ400;--;akuma;Akuma;Motos;SAED
465;JTOR2638;--;previon;Previon;Coupes;
466;TIBO3162;--;gblod4;LOD4;VIP;
467;VGDR1701;--;komoda;Komoda;Deportivo;Badulaque central
468;VAXQ1576;--;sanchez2;Sanchez;Motos;
469;WWYU0778;--;cliffhanger;Cliffhanger;Motos;
470;LXLL4792;--;manana2;Manana Custom;Muscle;
471;CKNQ0354;--;previon;Previon;Coupes;
472;HYM645;701;--;Vehículo SAED;--;
473;EOG554;706;--;Vehículo SAED;--;
474;MYNM6469;--;asea;Asea;Sedans;
475;TLVP6643;--;asbo;Asbo;Compactos;
476;USPX7335;--;asterope;Asterope;Sedans;
477;TXCG2222;--;kanjo;Blista Kanjo;Compactos;
478;DVDV7704;--;blista;Blista;Compactos;
479;HNRH3308;--;kanjosj;Kanjo SJ;Coupes;
480;GITC2253;--;patriot3;Patriot Military;SUVs;
481;PGA832;201;--;Vehículo policial;--;
482;CIBF8578;--;sadler;Sadler;Furgonetas;
483;QBWU1732;--;blista;Blista;Compactos;
484;PAR802;--;akuma;Akuma;Motos;
485;XTHT4431;--;faggio;Faggio Sport;Motos;
486;ZNS373;459;--;Vehículo policial;--;
487;IKF052;138;--;Vehículo policial;--;
488;PXD649;436;--;Vehículo policial;--;
489;TZWU5135;--;blista;Blista;Compactos;
490;APUF4526;--;comet5;Comet SR;Deportivo;
491;SLZP3162;--;habanero;Habanero;SUVs;
492;AGC518;167;--;Vehículo policial;--;
493;DVMU1853;--;bestiagts;Bestia GTS;Deportivo;
494;JBMM8263;--;akuma;Akuma;Motos;Bohem Beach
495;DZEO2335;--;offzenith;Zenith Offroad;VIP;
496;YBQ055;405;--;Vehículo policial;--;
497;ZGPZ0096;--;asea;Asea;Sedans;
498;RGQO3156;--;daemon2;Daemon Custom;Motos;
499;BDO616;818;--;Vehículo SAED;--;
500;ZOUN5453;--;asterope2;Asterope GZ;Sedans;
501;JDRU9086;--;gbbisonhf;Bison HF;VIP;
502;DBZH3971;--;blista2;Blista Compact;Compactos;
503;IBOD7087;--;sanchez2;Sanchez;Motos;
504;RNRE9343;--;asterope2;Asterope GZ;Sedans;
505;WKUQ4626;--;asea;Asea;Sedans;
506;HNXW1825;--;manchez;Manchez;Motos;Weedland
507;CZGI3801;--;jugular;Jugular;Deportivo;
508;ZWNM0162;--;blazer4;Blazer Sport;Todoterrenos;
509;VMIL6558;--;terminus;Terminus;Todoterrenos;BENNY's Original Motor Works
510;FJY578;137;--;Vehículo policial;--;SAPD
511;PRY496;121;--;Vehículo policial;--;
512;ANO999;121;--;Vehículo policial;--;
513;RFNB6391;--;futo2;Futo GTX;Deportivo;
514;WYYB7670;--;obeysport;Obey Sport GT;VIP;
515;RKQY3284;--;primo;Primo;Sedans;
